subject,block,trial,mu1,mu2,choice,reward,RT
1,37,1,-20.180,0.356,1,-18.781,0.000
1,37,2,-20.180,0.356,2,-3.095,0.000
1,37,3,-20.180,0.356,2,0.480,0.000
1,37,4,-20.180,0.356,2,-0.361,0.000
1,37,5,-20.180,0.356,2,-1.541,0.000
1,37,6,-20.180,0.356,2,2.696,0.000
1,37,7,-20.180,0.356,2,-2.318,0.000
1,37,8,-20.180,0.356,2,0.902,0.000
1,37,9,-20.180,0.356,2,-5.473,0.000
1,37,10,-20.180,0.356,2,-2.727,0.000
1,38,1,-7.111,0.829,1,-6.619,0.000
1,38,2,-7.111,0.829,2,3.869,0.000
1,38,3,-7.111,0.829,2,3.041,0.000
1,38,4,-7.111,0.829,2,3.846,0.000
1,38,5,-7.111,0.829,2,-2.781,0.000
1,38,6,-7.111,0.829,2,-3.710,0.000
1,38,7,-7.111,0.829,2,-6.094,0.000
1,38,8,-7.111,0.829,2,3.775,0.000
1,38,9,-7.111,0.829,2,-0.438,0.000
1,38,10,-7.111,0.829,2,-3.188,0.000
1,39,1,-2.512,-11.255,1,1.505,0.000
1,39,2,-2.512,-11.255,2,-10.382,0.000
1,39,3,-2.512,-11.255,1,-6.588,0.000
1,39,4,-2.512,-11.255,1,0.059,0.000
1,39,5,-2.512,-11.255,1,-1.114,0.000
1,39,6,-2.512,-11.255,1,-3.095,0.000
1,39,7,-2.512,-11.255,1,-3.769,0.000
1,39,8,-2.512,-11.255,1,-5.541,0.000
1,39,9,-2.512,-11.255,1,-5.125,0.000
1,39,10,-2.512,-11.255,1,2.207,0.000
1,40,1,-8.182,2.863,1,-7.850,0.000
1,40,2,-8.182,2.863,2,0.709,0.000
1,40,3,-8.182,2.863,2,0.683,0.000
1,40,4,-8.182,2.863,2,6.078,0.000
1,40,5,-8.182,2.863,2,2.929,0.000
1,40,6,-8.182,2.863,2,6.794,0.000
1,40,7,-8.182,2.863,2,1.935,0.000
1,40,8,-8.182,2.863,2,-0.858,0.000
1,40,9,-8.182,2.863,2,1.079,0.000
1,40,10,-8.182,2.863,2,4.797,0.000
